address,name,instructions,known,unknown,blocks,literals,calls,dynamic_branches
0x8C0228F0,sub_8C0228F0,346,346,0,68,69,27,0
0x8C022CC4,sub_8C022CC4,21,21,0,4,4,2,0
0x8C022CEE,sub_8C022CEE,33,33,0,8,7,2,0
0x8C022D30,sub_8C022D30,21,21,0,1,9,0,0
0x8C022D9C,sub_8C022D9C,35,35,0,3,4,0,0
0x8C022DE2,sub_8C022DE2,203,203,0,42,26,8,0
0x8C023176,sub_8C023176,37,37,0,3,13,3,0
0x8C0231C0,sub_8C0231C0,188,188,0,41,31,15,0
0x8C0233AA,sub_8C0233AA,37,37,0,3,13,3,0
0x8C02345C,sub_8C02345C,189,189,0,44,33,16,0
0x8C023650,sub_8C023650,84,84,0,11,11,8,0
0x8C023718,sub_8C023718,1281,1281,0,126,84,59,0
0x8C0242B8,sub_8C0242B8,35,35,0,3,12,3,0
0x8C0242FE,sub_8C0242FE,178,178,0,33,11,15,0
0x8C02447C,sub_8C02447C,35,35,0,4,2,1,0
0x8C0244E4,sub_8C0244E4,240,240,0,29,30,8,0
0x8C024708,sub_8C024708,35,35,0,3,12,3,0
0x8C0247A8,sub_8C0247A8,456,456,0,107,77,41,0
0x8C024C30,sub_8C024C30,30,30,0,3,9,3,0
0x8C024C6C,sub_8C024C6C,315,315,0,51,28,33,0
0x8C024F94,sub_8C024F94,70,70,0,5,5,2,0
0x8C025088,sub_8C025088,330,330,0,55,37,41,0
0x8C02508A,sub_8C02508A,329,329,0,55,37,41,0
0x8C0253A2,sub_8C0253A2,35,35,0,3,12,3,0
0x8C0253E8,sub_8C0253E8,78,78,0,17,9,4,0
0x8C0254DE,sub_8C0254DE,35,35,0,3,12,3,0
0x8C025524,sub_8C025524,94,94,0,20,12,5,0
0x8C02562C,sub_8C02562C,33,33,0,3,11,3,0
0x8C02566E,sub_8C02566E,79,79,0,17,9,4,0
0x8C025754,sub_8C025754,40,40,0,4,13,4,0
0x8C0257A4,sub_8C0257A4,88,88,0,20,12,5,0
0x8C0258A2,sub_8C0258A2,42,42,0,4,14,4,0
0x8C025950,sub_8C025950,103,103,0,23,15,6,0
0x8C025A54,sub_8C025A54,35,35,0,3,12,3,0
0x8C025A9A,sub_8C025A9A,93,93,0,20,12,5,0
0x8C025BA8,sub_8C025BA8,37,37,0,3,12,3,0
0x8C025BF2,sub_8C025BF2,94,94,0,20,12,5,0
0x8C025CFE,sub_8C025CFE,35,35,0,3,12,3,0
0x8C025D44,sub_8C025D44,93,93,0,20,12,5,0
0x8C025E4E,sub_8C025E4E,35,35,0,3,12,3,0
0x8C025E94,sub_8C025E94,93,93,0,20,12,5,0
0x8C025FA4,sub_8C025FA4,44,44,0,3,11,3,0
0x8C025FFC,sub_8C025FFC,495,495,0,102,96,54,0
0x8C02657C,sub_8C02657C,54,54,0,5,16,3,0
0x8C0265E8,sub_8C0265E8,501,501,0,105,98,48,0
0x8C026B80,sub_8C026B80,43,43,0,6,6,6,0
0x8C026BD6,sub_8C026BD6,9,9,0,2,2,1,0
0x8C026BE8,sub_8C026BE8,6,6,0,1,1,0,0
0x8C026BF4,sub_8C026BF4,4,4,0,1,2,1,0
0x8C026C02,sub_8C026C02,12,12,0,2,2,2,0
0x8C026C1A,sub_8C026C1A,8,8,0,1,1,0,0
0x8C026C2A,sub_8C026C2A,8,8,0,1,1,0,0
0x8C026C3A,sub_8C026C3A,36,36,0,2,3,2,0
0x8C026C82,sub_8C026C82,25,25,0,1,2,1,0
0x8C026CE6,sub_8C026CE6,21,21,0,2,3,2,0
0x8C026D10,sub_8C026D10,129,129,0,20,21,7,0
0x8C026E56,sub_8C026E56,26,26,0,1,4,0,0
0x8C026E8A,sub_8C026E8A,219,219,0,27,19,11,0
0x8C02708A,sub_8C02708A,6,6,0,1,1,0,0
0x8C027096,sub_8C027096,109,109,0,29,12,1,0
0x8C0271A6,sub_8C0271A6,25,25,0,3,3,3,0
0x8C0271D8,sub_8C0271D8,18,18,0,7,3,1,0
0x8C027228,sub_8C027228,44,44,0,13,8,0,0
0x8C027280,sub_8C027280,3,3,0,1,1,0,0
0x8C0272A6,sub_8C0272A6,28,28,0,6,0,5,0
0x8C027ED8,sub_8C027ED8,62,62,0,6,14,2,0
0x8C027F28,sub_8C027F28,75,75,0,6,16,0,0
0x8C027FBE,sub_8C027FBE,15,15,0,3,4,0,0
0x8C027FDC,sub_8C027FDC,17,17,0,4,1,0,0
0x8C027FFE,sub_8C027FFE,22,22,0,3,7,0,0
0x8C02802A,sub_8C02802A,8,8,0,1,3,0,0
0x8C02803A,sub_8C02803A,6,6,0,1,1,0,0
0x8C028058,sub_8C028058,10,10,0,1,3,0,0
0x8C02806C,sub_8C02806C,89,89,0,24,6,0,0
0x8C028196,sub_8C028196,7,7,0,1,2,0,0
